이름,종류,위도,경도,도로명주소,전화번호,휴무,영업시간
1004 약국,동물약국,37.64454276,126.886336,경기도 고양시 덕양구 동세로 19,23815052,"매주 토, 일, 법정공휴일",월~금 09:00~18:00
1004섬수석미술관,미술관,34.8800925,125.996874,전라남도 신안군 자은면 자은서부2길 508-68,612408359,매주 월요일,화~일 09:00~18:00
100세건강약국,동물약국,37.40715043,126.914837,경기도 안양시 만안구 안양로 408,314651320,"매주 일요일, 법정공휴일","월~금 09:00~21:00, 토 09:00~20:00"
100세약국,동물약국,37.53325958,126.903741,서울특별시 영등포구 양평로 24,226788217,"매주 일요일, 법정공휴일","월~금 08:30~21:00, 토 08:30~18:30"
100세약국,동물약국,37.27627151,127.030911,경기도 수원시 팔달구 경수대로 568,312394801,"매주 일요일, 법정공휴일","월~금 09:00~19:00, 토 09:00~15:00"
100세약국,동물약국,37.4620717,126.708644,인천광역시 남동구 남동대로 892,324277585,"매주 토, 일",월~금 08:30~22:00
100코달리 와인바,카페,37.56330525,127.016417,서울특별시 중구 다산로38길 11,50713466774,매주 월요일,화~일 18:00~02:00
100평 광장약국,동물약국,37.75195739,127.049286,경기도 의정부시 동일로 732,318471269,"매주 토, 일, 법정공휴일",월~금 10:00~18:00
107page,카페,36.15863384,128.30627,경상북도 구미시 봉곡서로 87-34,50713317179,매주 월요일,화~일 12:00~22:00
119동물병원,동물병원,35.85715733,128.466544,대구광역시 달성군 다사읍 달구벌대로 893,535851195,연중무휴,"월~금 09:30~18:30, 토 09:30~16:00, 일 12:00~12:30, 법정공휴일 09:30~16:00"
153약국,동물약국,36.50271902,127.250023,세종특별자치시 달빛로 43,50713691531,"매주 일요일, 법정공휴일","월~금 09:00~18:00, 토 09:00~13:00"
1723 카페,카페,35.81263594,127.151717,전라북도 전주시 완산구 오목대길 83,632881723,연중무휴,매일 10:30~22:00
1919봄,카페,35.50542551,128.789995,경상남도 밀양시 산외면 산외로 191,50713469661,매주 화요일,수~월 11:00~21:00
1974유달동미스박,카페,34.80393238,126.425756,전라남도 목포시 비파로 61,612851974,매주 월요일,화~일 11:00~23:00
1번가온누리약국,동물약국,37.6376755,128.559285,강원도 평창군 진부면 진부중앙로 74-2,333337300,연중무휴,"월~화 08:40~18:00, 수 08:30~21:30, 목~금 08:30~17:30, 토~일, 법정공휴일 08:30~13:30"
1층메디컬약국,동물약국,37.45304289,126.901712,서울특별시 금천구 시흥대로 214,28911112,연중무휴,"월~수, 금 09:00~20:00, 목 09:00~20:30, 토 09:00~15:30, 일 09:00~13:30, 법정공휴일 10:00~16:00"
1층이화약국,동물약국,37.5665905,127.024082,서울특별시 성동구 왕십리로 410,7077981281,매주 일요일,"월, 목 09:00~20:00, 화, 목 09:00~19:00, 수 09:00~18:00, 토 09:00~14:00"
1호선범일약국,동물약국,35.14072278,129.059343,부산광역시 동구 범일로 지하 108,516370421,"매주 일요일, 법정공휴일","월~금 09:00~19:00, 토 09:00~14:00"
202펫푸드,반려동물용품,35.15012154,128.553719,경상남도 창원시 마산합포구 현동6길 94,,매주 월~화,수~일 11:30~19:00
21세기 동규약국,동물약국,37.146604,127.068648,경기도 오산시 대원로 1,313742943,연중무휴,"월~금 08:30~21:00, 토 08:30~21:00, 일 12:00~21:00, 법정공휴일 12:00~21:00"
21세기 동물병원,동물병원,35.86154545,127.114938,전라북도 전주시 덕진구 시천로 26,632511015,,
21세기 세계로약국,동물약국,37.44475147,127.158591,경기도 성남시 중원구 산성대로372번길 14,317430624,연중무휴,"월~금 08:30~20:30, 토 08:30~20:00, 일 09:30~19:00, 법정공휴일 09:30~20:00"
21세기 약국,동물약국,37.47450425,126.866592,경기도 광명시 오리로 853,28977470,"매주 일요일, 법정공휴일","월~금 09:00~19:30, 토 09:00~15:30"
21세기 우리네약국,동물약국,35.13669418,129.072687,부산광역시 남구 수영로 43,516468260,"매주 일요일, 법정공휴일","월~금 09:00~19:30, 토 09:00~16:30"
21세기 정약국,동물약국,37.25596473,127.011044,경기도 수원시 권선구 정조로 523,312343847,"매주 토, 일, 법정공휴일",월~금 08:30~20:30
21세기건강약국,동물약국,35.17942758,126.915844,광주광역시 북구 면앙로32번길 1,622615627,매주 일요일,"월~토 09:00~22:00, 법정공휴일 09:00~22:00"
21세기동물병원,동물병원,37.52831582,126.999196,서울특별시 용산구 보광로 46,27496750,매주 일요일,월~토 09:00~18:00
21세기동물병원,동물병원,34.81064748,126.417274,전라남도 목포시 영산로 503,612790006,,
